School Number,School Name,Lattitude,Longitude
0366,ARVADA MIDDLE SCHOOL,39.800992,-105.088503
0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,37.474886,-105.887374
0370,ARVADA HIGH SCHOOL,39.814688,-105.085357
0378,ARVADA WEST HIGH SCHOOL,39.809678,-105.128929
0388,ASBURY ELEMENTARY SCHOOL,39.680302,-104.971955
0408,VALDEZ ELEMENTARY SCHOOL,39.758438,-105.018734
0418,ASHLEY ELEMENTARY SCHOOL,39.746003,-104.898741
0419,CANON ONLINE ACADEMY,38.44621,-105.229196
0428,ASPEN ELEMENTARY SCHOOL,39.191302,-106.84763
0429,CARBONDALE COMMUNITY CHARTER SCHOOL,39.408536,-107.228666
0430,ASPEN MIDDLE SCHOOL,39.191302,-106.84763
0432,ASPEN HIGH SCHOOL,39.191302,-106.84763
0441,ASPEN CREEK K-8 SCHOOL,39.947313,-105.055144
0442,ASPEN CROSSING ELEMENTARY SCHOOL,39.633163,-104.749386
0447,ASPEN PRE-SCHOOL,39.191302,-106.84763
0452,AUDUBON ELEMENTARY SCHOOL,38.867876,-104.784817
0458,AURORA ACADEMY CHARTER SCHOOL,39.718208,-104.868234
0464,AURORA HILLS MIDDLE SCHOOL,39.698003,-104.837846
0465,AURORA FRONTIER K-8,39.659174,-104.747258
0469,ATLAS PREPARATORY SCHOOL,38.810175,-104.749931
0471,AVON ELEMENTARY SCHOOL,39.639595,-106.534043
0472,AVONDALE ELEMENTARY SCHOOL,38.236518,-104.347044
0477,ZACH ELEMENTARY SCHOOL,40.508887,-105.007634
0489,BACKPACK EARLY LEARNING ACADEMY,38.736069,-108.0679
0490,BACON ELEMENTARY SCHOOL,40.503903,-105.039257
0492,BAKER CENTRAL SCHOOL,40.250018,-103.796776
0498,BETHKE ELEMENTARY SCHOOL,40.514729,-104.952951
0501,MONTEREY COMMUNITY SCHOOL,39.850903,-104.960066
0502,MEADOW COMMUNITY SCHOOL,39.861194,-104.944064
0503,YORK INTERNATIONAL,39.86441,-104.958987
0504,WELBY MONTESSORI SCHOOL,39.838128,-104.970862
0505,ACHIEVE ACADEMY,39.861948,-104.96157
0506,EXPLORE ELEMENTARY,39.862233,-104.961476
0507,ADVENTURE ELEMENTARY,39.836907,-104.989541
0508,ENRICHMENT ACADEMY,39.836907,-104.989541
0509,CLAYTON PARTNERSHIP SCHOOL,39.863138,-104.958313
0510,CONRAD BALL MIDDLE SCHOOL,40.41902,-105.068047
0515,AYRES ELEMENTARY SCHOOL,40.608271,-103.222371
0517,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,38.867866,-104.836351
0520,BARNUM ELEMENTARY SCHOOL,39.717806,-105.028793
0540,BARRETT ELEMENTARY SCHOOL,39.758266,-104.943006
0555,BANNING LEWIS RANCH ACADEMY,38.934031,-104.674376
0560,BASALT ELEMENTARY SCHOOL,39.367799,-107.030299
0561,BASALT MIDDLE SCHOOL,39.364916,-107.028999
0570,BASALT HIGH SCHOOL,39.357757,-107.037219
0594,BATES ELEMENTARY SCHOOL,38.892083,-104.807719
0604,BATTLE MOUNTAIN HIGH SCHOOL,39.645439,-106.586492
0609,BATTLE ROCK CHARTER SCHOOL,37.32359,-108.691919
0612,BAUDER ELEMENTARY SCHOOL,40.567569,-105.12089
0632,BAYFIELD ELEMENTARY SCHOOL,37.228735,-107.600477
0636,BAYFIELD MIDDLE SCHOOL,37.228735,-107.600477
0640,BAYFIELD HIGH SCHOOL,37.241266,-107.602033
0650,BEACH COURT ELEMENTARY SCHOOL,39.786519,-105.018141
0651,BEAR CANYON ELEMENTARY SCHOOL,39.540431,-104.982588
0652,BEAR CREEK ELEMENTARY SCHOOL,39.981025,-105.262512
0653,STONE CREEK SCHOOL,39.625619,-106.498264
0654,THE PINNACLE CHARTER SCHOOL ELEMENTARY,39.849018,-104.998712
0655,HIGH POINT ACADEMY,39.809148,-104.756941
0656,COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,39.972324,-104.76103
0657,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,40.525358,-105.048785
0660,BEAR CREEK K-8 SCHOOL,39.659468,-105.104918
0664,BEAR CREEK HIGH SCHOOL,39.659134,-105.109603
0678,BEATTIE ELEMENTARY SCHOOL,40.547155,-105.085842
0694,BELL MIDDLE SCHOOL,39.732956,-105.193847
0700,BELLE CREEK CHARTER SCHOOL,39.892009,-104.87959
0714,BELLEVIEW ELEMENTARY SCHOOL,39.628176,-104.875923
0724,BELMAR ELEMENTARY SCHOOL,39.700456,-105.100313
0738,BELMONT ELEMENTARY SCHOOL,38.29857,-104.589488
0752,FRANKLIN ELEMENTARY SCHOOL,39.599249,-104.969808
0754,BENJAMIN EATON ELEMENTARY SCHOOL,40.522655,-104.730573
0756,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,38.289746,-104.588937
0766,BENNETT ELEMENTARY SCHOOL,40.569444,-105.096801
0770,BENNETT ELEMENTARY SCHOOL,39.758684,-104.423653
0774,BENNETT MIDDLE SCHOOL,39.758667,-104.42367
0775,BENNETT HIGH SCHOOL,39.760832,-104.425411
0776,BERGEN MEADOW PRIMARY SCHOOL,39.680613,-105.363234
0779,BERGEN VALLEY INTERMEDIATE SCHOOL,39.691288,-105.349787
0793,BERRY CREEK MIDDLE SCHOOL,39.641989,-106.573656
0808,BERTHOUD ELEMENTARY SCHOOL,40.312539,-105.081846
0812,BERTHOUD HIGH SCHOOL,40.298008,-105.085461
0822,BESSEMER ELEMENTARY SCHOOL,38.247328,-104.616171
0832,BETHUNE ELEMENTARY SCHOOL,39.305813,-102.427452
0842,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,39.305813,-102.427452
0852,BEULAH ELEMENTARY SCHOOL,38.076114,-104.978102
0856,BEULAH MIDDLE SCHOOL,38.076114,-104.978102
0860,BEULAH HEIGHTS ELEMENTARY SCHOOL,38.223399,-104.648888
0865,B F KITCHEN ELEMENTARY SCHOOL,40.374089,-105.090775
0870,BIG THOMPSON ELEMENTARY SCHOOL,40.417984,-105.188891
0872,BIRCH ELEMENTARY SCHOOL,39.930638,-105.058762
0875,BLACK ROCK ELEMENTARY,40.006527,-105.017304
0878,BLUE MOUNTAIN ELEMENTARY,40.144408,-105.174677
0890,MARY BLAIR ELEMENTARY SCHOOL,40.421801,-105.065484
0892,BLEVINS MIDDLE SCHOOL,40.559108,-105.115126
0898,BOLTZ MIDDLE SCHOOL,40.541568,-105.065046
0900,BOOKCLIFF MIDDLE SCHOOL,39.084552,-108.509349
